NAME,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
Jay Scrubb,Boston Celtics,67,60.0,68.0,70.0,75.0,50.0,50.0,71.0,45.0,80.0,40.0,44.0,51.0,37.0,78.0,44.0,60.0,46.0,45.0,74.0,57.0,64.0,40.0,74.0,74.0,55.0,82.0,80.0,70.0,79.0,57.0,70.0,69.0,52.0,39.0,34.0,54.0
Mikal Bridges,Brooklyn Nets,86,89.0,88.0,86.0,90.0,98.0,98.0,75.0,40.0,75.0,55.0,57.0,57.0,80.0,80.0,69.0,89.0,80.0,62.0,89.0,82.0,86.0,85.0,80.0,80.0,68.0,85.0,92.0,95.0,84.0,78.0,82.0,72.0,88.0,53.0,40.0,51.0
Nicolas Claxton,Brooklyn Nets,84,95.0,64.0,67.0,52.0,75.0,50.0,75.0,80.0,75.0,72.0,64.0,72.0,55.0,80.0,89.0,77.0,41.0,92.0,74.0,90.0,64.0,85.0,69.0,69.0,71.0,79.0,90.0,89.0,80.0,40.0,49.0,44.0,48.0,37.0,68.0,86.0
Cameron Johnson,Brooklyn Nets,81,88.0,80.0,85.0,81.0,89.0,90.0,79.0,60.0,60.0,69.0,69.0,69.0,64.0,57.0,65.0,69.0,59.0,51.0,70.0,64.0,68.0,65.0,70.0,69.0,60.0,79.0,85.0,86.0,78.0,59.0,59.0,43.0,66.0,36.0,38.0,62.0
Spencer Dinwiddie,Brooklyn Nets,81,83.0,89.0,82.0,82.0,90.0,95.0,84.0,35.0,55.0,49.0,52.0,52.0,87.0,98.0,42.0,74.0,40.0,45.0,77.0,68.0,59.0,70.0,82.0,82.0,45.0,75.0,95.0,85.0,77.0,88.0,88.0,82.0,90.0,85.0,31.0,49.0
Cameron Thomas,Brooklyn Nets,78,86.0,79.0,82.0,86.0,70.0,95.0,79.0,50.0,75.0,58.0,70.0,75.0,78.0,74.0,41.0,59.0,38.0,40.0,75.0,59.0,58.0,40.0,77.0,77.0,54.0,79.0,86.0,65.0,80.0,59.0,78.0,70.0,52.0,50.0,30.0,50.0
Dorian Finney-Smith,Brooklyn Nets,77,74.0,71.0,77.0,75.0,90.0,85.0,77.0,40.0,84.0,47.0,40.0,40.0,48.0,72.0,72.0,81.0,42.0,53.0,81.0,74.0,74.0,75.0,67.0,67.0,62.0,83.0,80.0,80.0,81.0,65.0,60.0,44.0,61.0,33.0,56.0,53.0
Trendon Watford,Brooklyn Nets,77,92.0,68.0,75.0,72.0,80.0,85.0,79.0,75.0,80.0,69.0,69.0,69.0,69.0,70.0,66.0,52.0,43.0,47.0,52.0,52.0,50.0,40.0,63.0,63.0,79.0,80.0,85.0,80.0,80.0,59.0,50.0,57.0,62.0,60.0,47.0,73.0
Lonnie Walker IV,Brooklyn Nets,76,88.0,71.0,82.0,87.0,75.0,70.0,82.0,40.0,75.0,48.0,53.0,48.0,67.0,75.0,55.0,74.0,38.0,50.0,78.0,62.0,65.0,35.0,91.0,91.0,64.0,83.0,85.0,65.0,82.0,70.0,78.0,77.0,67.0,33.0,31.0,42.0
Darius Bazley,Brooklyn Nets,76,83.0,70.0,80.0,69.0,85.0,80.0,79.0,50.0,80.0,59.0,54.0,50.0,69.0,80.0,55.0,56.0,46.0,83.0,67.0,60.0,59.0,35.0,73.0,75.0,60.0,82.0,80.0,75.0,80.0,50.0,69.0,70.0,47.0,34.0,52.0,71.0
Royce O’Neale,Brooklyn Nets,76,55.0,67.0,83.0,74.0,95.0,55.0,74.0,55.0,70.0,54.0,52.0,59.0,59.0,75.0,68.0,83.0,41.0,56.0,83.0,84.0,68.0,80.0,62.0,62.0,67.0,65.0,80.0,80.0,82.0,60.0,68.0,62.0,63.0,60.0,38.0,62.0
Ben Simmons,Brooklyn Nets,76,91.0,46.0,50.0,55.0,30.0,30.0,80.0,83.0,86.0,76.0,73.0,78.0,50.0,75.0,79.0,84.0,73.0,58.0,83.0,84.0,75.0,85.0,92.0,92.0,80.0,85.0,97.0,80.0,83.0,79.0,86.0,84.0,80.0,75.0,47.0,81.0
Dennis Smith Jr.,Brooklyn Nets,74,76.0,56.0,70.0,74.0,80.0,75.0,76.0,25.0,85.0,30.0,31.0,38.0,69.0,80.0,25.0,66.0,80.0,56.0,77.0,65.0,75.0,45.0,86.0,87.0,54.0,91.0,88.0,45.0,80.0,76.0,86.0,85.0,75.0,72.0,35.0,52.0
Day’Ron Sharpe,Brooklyn Nets,73,71.0,49.0,29.0,50.0,80.0,50.0,73.0,75.0,70.0,48.0,35.0,48.0,44.0,80.0,69.0,60.0,33.0,81.0,60.0,69.0,55.0,60.0,61.0,61.0,79.0,73.0,80.0,90.0,80.0,62.0,58.0,38.0,66.0,39.0,82.0,83.0
David Duke Jr.,Brooklyn Nets,72,68.0,73.0,69.0,79.0,90.0,75.0,70.0,40.0,60.0,30.0,40.0,39.0,70.0,70.0,40.0,60.0,56.0,42.0,70.0,55.0,37.0,35.0,83.0,83.0,55.0,72.0,80.0,45.0,83.0,62.0,73.0,78.0,60.0,43.0,53.0,44.0
Armoni Brooks,Brooklyn Nets,71,76.0,79.0,72.0,81.0,98.0,80.0,69.0,30.0,55.0,39.0,36.0,28.0,65.0,70.0,32.0,64.0,46.0,51.0,70.0,60.0,48.0,45.0,70.0,70.0,45.0,66.0,80.0,80.0,81.0,70.0,76.0,69.0,69.0,41.0,37.0,52.0
Raiquan Gray,Brooklyn Nets,69,68.0,72.0,77.0,64.0,50.0,40.0,70.0,65.0,75.0,57.0,57.0,57.0,47.0,95.0,60.0,52.0,65.0,59.0,62.0,52.0,65.0,45.0,66.0,66.0,70.0,75.0,82.0,85.0,84.0,67.0,67.0,63.0,60.0,51.0,57.0,70.0
LaMelo Ball,Charlotte Hornets,86,80.0,80.0,81.0,86.0,98.0,98.0,88.0,45.0,75.0,52.0,58.0,52.0,82.0,98.0,45.0,70.0,53.0,47.0,83.0,79.0,89.0,75.0,84.0,84.0,50.0,79.0,93.0,89.0,82.0,94.0,88.0,84.0,94.0,90.0,41.0,65.0
Miles Bridges,Charlotte Hornets,83,90.0,78.0,78.0,77.0,97.0,98.0,92.0,60.0,91.0,59.0,60.0,80.0,88.0,79.0,60.0,59.0,41.0,62.0,76.0,62.0,68.0,45.0,75.0,72.0,73.0,82.0,88.0,75.0,85.0,69.0,76.0,71.0,74.0,62.0,41.0,69.0
Kelly Oubre Jr.,Charlotte Hornets,80,73.0,85.0,77.0,76.0,98.0,98.0,79.0,40.0,84.0,45.0,53.0,52.0,84.0,88.0,49.0,74.0,59.0,50.0,76.0,70.0,75.0,55.0,72.0,82.0,58.0,95.0,90.0,75.0,84.0,73.0,78.0,69.0,80.0,30.0,47.0,57.0
Terry Rozier III,Charlotte Hornets,80,80.0,85.0,77.0,81.0,98.0,95.0,84.0,40.0,75.0,45.0,53.0,48.0,89.0,98.0,55.0,75.0,46.0,40.0,77.0,59.0,65.0,50.0,82.0,82.0,62.0,84.0,98.0,92.0,82.0,84.0,88.0,82.0,89.0,71.0,36.0,50.0
Gordon Hayward,Charlotte Hornets,79,91.0,89.0,76.0,80.0,65.0,80.0,85.0,40.0,75.0,40.0,65.0,58.0,65.0,91.0,56.0,73.0,41.0,42.0,76.0,73.0,58.0,65.0,80.0,77.0,63.0,75.0,88.0,80.0,78.0,74.0,77.0,77.0,79.0,67.0,36.0,56.0
Nick Richards,Charlotte Hornets,78,60.0,69.0,25.0,76.0,95.0,80.0,62.0,80.0,80.0,52.0,47.0,52.0,55.0,80.0,75.0,47.0,31.0,86.0,52.0,78.0,40.0,70.0,72.0,70.0,65.0,75.0,81.0,85.0,84.0,37.0,35.0,49.0,36.0,29.0,86.0,81.0
Brandon Miller,Charlotte Hornets,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Williams,Charlotte Hornets,77,72.0,53.0,36.0,73.0,70.0,55.0,75.0,85.0,75.0,60.0,60.0,60.0,73.0,85.0,79.0,44.0,70.0,89.0,49.0,75.0,60.0,65.0,65.0,64.0,73.0,75.0,85.0,88.0,80.0,44.0,35.0,32.0,52.0,27.0,79.0,89.0
P.J. Washington,Charlotte Hornets,77,88.0,65.0,78.0,72.0,98.0,85.0,74.0,65.0,80.0,68.0,70.0,71.0,74.0,95.0,62.0,52.0,41.0,70.0,67.0,64.0,62.0,40.0,75.0,75.0,68.0,69.0,85.0,85.0,79.0,55.0,70.0,63.0,60.0,41.0,40.0,57.0
Cody Martin,Charlotte Hornets,75,72.0,60.0,82.0,73.0,95.0,70.0,85.0,25.0,75.0,59.0,59.0,55.0,79.0,75.0,48.0,69.0,70.0,56.0,72.0,69.0,69.0,60.0,58.0,58.0,58.0,75.0,90.0,90.0,80.0,74.0,73.0,57.0,78.0,42.0,47.0,54.0
Theo Maledon,Charlotte Hornets,74,79.0,75.0,77.0,91.0,94.0,60.0,79.0,35.0,50.0,37.0,49.0,40.0,64.0,80.0,37.0,56.0,70.0,50.0,65.0,40.0,54.0,30.0,77.0,77.0,39.0,72.0,84.0,75.0,80.0,84.0,83.0,77.0,84.0,69.0,33.0,63.0
Kai Jones,Charlotte Hornets,72,68.0,69.0,69.0,69.0,60.0,60.0,64.0,80.0,80.0,41.0,40.0,40.0,42.0,37.0,78.0,47.0,43.0,83.0,65.0,84.0,67.0,65.0,66.0,66.0,65.0,69.0,84.0,75.0,80.0,38.0,35.0,57.0,48.0,27.0,66.0,68.0
Bryce McGowens,Charlotte Hornets,72,71.0,74.0,73.0,79.0,95.0,50.0,74.0,40.0,80.0,42.0,42.0,42.0,55.0,78.0,37.0,66.0,35.0,45.0,75.0,65.0,60.0,65.0,74.0,74.0,48.0,81.0,85.0,75.0,80.0,52.0,74.0,72.0,50.0,33.0,38.0,48.0
James Bouknight,Charlotte Hornets,72,66.0,72.0,73.0,81.0,60.0,65.0,75.0,35.0,85.0,30.0,37.0,38.0,60.0,82.0,44.0,69.0,46.0,51.0,80.0,68.0,69.0,40.0,87.0,87.0,54.0,90.0,87.0,75.0,80.0,69.0,80.0,84.0,68.0,41.0,32.0,60.0
Frank Ntilikina,Charlotte Hornets,72,80.0,87.0,68.0,86.0,50.0,40.0,65.0,30.0,45.0,32.0,48.0,40.0,39.0,85.0,35.0,82.0,36.0,47.0,82.0,80.0,70.0,70.0,80.0,82.0,47.0,70.0,81.0,80.0,80.0,77.0,86.0,80.0,77.0,51.0,32.0,53.0
J.T. Thor,Charlotte Hornets,72,85.0,70.0,74.0,65.0,55.0,60.0,70.0,55.0,70.0,67.0,66.0,68.0,41.0,75.0,65.0,63.0,40.0,57.0,64.0,62.0,62.0,50.0,84.0,84.0,50.0,82.0,85.0,80.0,80.0,65.0,60.0,69.0,66.0,29.0,48.0,56.0
Zach LaVine,Chicago Bulls,86,87.0,84.0,82.0,85.0,98.0,98.0,88.0,60.0,95.0,59.0,59.0,59.0,82.0,98.0,62.0,69.0,41.0,40.0,75.0,68.0,69.0,65.0,84.0,84.0,49.0,97.0,98.0,85.0,83.0,79.0,88.0,81.0,88.0,66.0,34.0,56.0
DeMar DeRozan,Chicago Bulls,86,95.0,95.0,77.0,86.0,90.0,90.0,92.0,55.0,84.0,65.0,78.0,87.0,85.0,95.0,50.0,73.0,43.0,52.0,76.0,74.0,82.0,70.0,82.0,82.0,73.0,88.0,98.0,90.0,91.0,73.0,83.0,80.0,75.0,71.0,32.0,57.0
Nikola Vucevic,Chicago Bulls,84,97.0,88.0,78.0,83.0,90.0,90.0,70.0,85.0,65.0,89.0,84.0,88.0,50.0,98.0,74.0,41.0,38.0,62.0,49.0,73.0,57.0,50.0,62.0,46.0,89.0,45.0,95.0,85.0,77.0,82.0,35.0,32.0,82.0,58.0,58.0,88.0
Lonzo Ball,Chicago Bulls,81,55.0,65.0,84.0,79.0,92.0,85.0,79.0,30.0,75.0,35.0,44.0,40.0,59.0,84.0,60.0,86.0,80.0,62.0,86.0,85.0,90.0,85.0,85.0,85.0,52.0,80.0,93.0,70.0,80.0,88.0,86.0,85.0,89.0,70.0,41.0,62.0
Alex Caruso,Chicago Bulls,78,70.0,67.0,80.0,81.0,65.0,50.0,70.0,35.0,75.0,30.0,43.0,29.0,45.0,68.0,31.0,89.0,96.0,66.0,87.0,88.0,89.0,90.0,82.0,82.0,31.0,72.0,85.0,85.0,81.0,78.0,78.0,82.0,80.0,62.0,39.0,52.0
Andre Drummond,Chicago Bulls,78,82.0,47.0,47.0,54.0,40.0,30.0,73.0,95.0,85.0,70.0,45.0,75.0,40.0,80.0,77.0,52.0,76.0,66.0,52.0,74.0,70.0,70.0,60.0,58.0,95.0,79.0,89.0,85.0,81.0,52.0,45.0,49.0,70.0,32.0,96.0,97.0
Patrick Williams,Chicago Bulls,77,64.0,83.0,85.0,87.0,70.0,75.0,68.0,60.0,65.0,44.0,42.0,40.0,50.0,80.0,70.0,76.0,42.0,67.0,74.0,80.0,65.0,65.0,70.0,70.0,64.0,77.0,88.0,75.0,81.0,60.0,70.0,64.0,62.0,31.0,43.0,56.0
Javonte Green,Chicago Bulls,77,73.0,70.0,82.0,65.0,80.0,75.0,79.0,25.0,85.0,52.0,52.0,52.0,60.0,95.0,74.0,77.0,73.0,81.0,69.0,74.0,80.0,75.0,72.0,74.0,46.0,85.0,80.0,75.0,82.0,60.0,72.0,69.0,68.0,33.0,56.0,62.0
Coby White,Chicago Bulls,76,85.0,82.0,81.0,86.0,70.0,70.0,79.0,30.0,65.0,34.0,45.0,49.0,67.0,80.0,49.0,64.0,46.0,35.0,73.0,66.0,64.0,45.0,85.0,85.0,56.0,81.0,90.0,85.0,80.0,77.0,86.0,84.0,77.0,63.0,30.0,55.0
Jevon Carter,Chicago Bulls,75,66.0,85.0,86.0,81.0,77.0,75.0,75.0,25.0,35.0,32.0,34.0,30.0,40.0,80.0,34.0,79.0,56.0,53.0,83.0,72.0,75.0,70.0,76.0,78.0,60.0,71.0,85.0,76.0,81.0,75.0,79.0,76.0,70.0,57.0,35.0,48.0
Torrey Craig,Chicago Bulls,75,58.0,60.0,82.0,72.0,95.0,50.0,79.0,35.0,60.0,50.0,62.0,55.0,50.0,70.0,74.0,79.0,41.0,66.0,80.0,79.0,75.0,75.0,63.0,61.0,49.0,73.0,80.0,35.0,80.0,52.0,69.0,58.0,50.0,35.0,65.0,66.0
Ayo Dosunmu,Chicago Bulls,74,86.0,78.0,74.0,81.0,80.0,80.0,79.0,25.0,75.0,35.0,50.0,42.0,59.0,87.0,38.0,69.0,41.0,52.0,78.0,68.0,69.0,65.0,76.0,76.0,52.0,75.0,85.0,75.0,80.0,72.0,79.0,73.0,79.0,51.0,38.0,48.0
Terry Taylor,Chicago Bulls,74,81.0,70.0,74.0,77.0,85.0,75.0,70.0,40.0,45.0,54.0,52.0,58.0,40.0,69.0,54.0,66.0,33.0,67.0,74.0,65.0,40.0,45.0,77.0,77.0,69.0,80.0,85.0,65.0,83.0,60.0,66.0,70.0,62.0,31.0,72.0,52.0
Dalen Terry,Chicago Bulls,73,77.0,72.0,74.0,74.0,70.0,65.0,77.0,25.0,80.0,40.0,46.0,42.0,54.0,85.0,43.0,69.0,72.0,51.0,75.0,69.0,70.0,65.0,76.0,76.0,58.0,69.0,85.0,85.0,80.0,76.0,80.0,74.0,78.0,68.0,52.0,59.0
Carlik Jones,Chicago Bulls,67,70.0,71.0,74.0,81.0,70.0,45.0,70.0,25.0,30.0,36.0,54.0,32.0,44.0,78.0,37.0,52.0,52.0,40.0,73.0,47.0,44.0,35.0,74.0,74.0,50.0,70.0,80.0,77.0,81.0,70.0,76.0,73.0,70.0,66.0,39.0,44.0
Justin Lewis,Chicago Bulls,67,70.0,70.0,72.0,71.0,30.0,35.0,67.0,45.0,75.0,37.0,38.0,50.0,40.0,95.0,60.0,64.0,40.0,44.0,72.0,60.0,50.0,60.0,75.0,75.0,50.0,80.0,85.0,80.0,80.0,50.0,72.0,70.0,70.0,37.0,44.0,49.0
Donovan Mitchell,Cleveland Cavaliers,92,98.0,89.0,88.0,90.0,98.0,98.0,97.0,50.0,92.0,37.0,49.0,44.0,98.0,98.0,68.0,75.0,66.0,50.0,86.0,79.0,79.0,75.0,96.0,90.0,60.0,97.0,96.0,95.0,80.0,84.0,90.0,86.0,92.0,75.0,41.0,51.0
Darius Garland,Cleveland Cavaliers,86,95.0,78.0,85.0,85.0,95.0,98.0,90.0,25.0,65.0,32.0,37.0,42.0,74.0,95.0,31.0,69.0,53.0,32.0,78.0,69.0,66.0,50.0,88.0,88.0,40.0,84.0,95.0,95.0,80.0,92.0,89.0,88.0,95.0,84.0,32.0,44.0
