ID,LAST_NAME,FIRST_NAME,ACTIVE,IMAGE_URL,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
1629726,Mathews,Garrison,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629726.png,Atlanta Hawks,73,74.0,78.0,78.0,92.0,82.0,80.0,79.0,45.0,55.0,36.0,47.0,48.0,54.0,95.0,42.0,59.0,53.0,40.0,60.0,58.0,52.0,45.0,50.0,50.0,44.0,65.0,89.0,88.0,79.0,71.0,76.0,47.0,82.0,30.0,34.0,48.0
202083,Matthews,Wesley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202083.png,Atlanta Hawks,72,77.0,68.0,77.0,86.0,70.0,30.0,78.0,45.0,50.0,63.0,65.0,65.0,45.0,85.0,38.0,78.0,42.0,53.0,79.0,75.0,79.0,70.0,70.0,75.0,55.0,70.0,85.0,80.0,84.0,72.0,75.0,68.0,77.0,29.0,52.0,47.0
1630235,Forrest,Trent,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630235.png,Atlanta Hawks,71,89.0,72.0,62.0,85.0,60.0,65.0,83.0,40.0,60.0,59.0,62.0,62.0,72.0,95.0,58.0,60.0,42.0,45.0,70.0,60.0,55.0,40.0,82.0,82.0,59.0,75.0,80.0,80.0,80.0,70.0,76.0,78.0,68.0,62.0,37.0,52.0
1628369,Tatum,Jayson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,Boston Celtics,95,95.0,90.0,87.0,86.0,98.0,98.0,95.0,50.0,89.0,74.0,84.0,83.0,97.0,98.0,81.0,89.0,74.0,75.0,88.0,89.0,90.0,85.0,82.0,82.0,71.0,83.0,95.0,98.0,80.0,78.0,86.0,79.0,84.0,72.0,74.0,82.0
1627759,Brown,Jaylen,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,Boston Celtics,89,93.0,92.0,83.0,79.0,98.0,98.0,94.0,40.0,89.0,67.0,69.0,80.0,93.0,95.0,70.0,87.0,74.0,50.0,89.0,86.0,84.0,85.0,79.0,79.0,69.0,84.0,95.0,95.0,82.0,78.0,86.0,76.0,84.0,62.0,43.0,67.0
204001,Porzingis,Kristaps,True,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png,Boston Celtics,86,98.0,83.0,82.0,85.0,98.0,98.0,79.0,90.0,75.0,84.0,88.0,87.0,75.0,98.0,78.0,56.0,41.0,80.0,62.0,82.0,60.0,65.0,66.0,65.0,74.0,78.0,94.0,85.0,77.0,50.0,68.0,56.0,40.0,44.0,57.0,80.0
1627763,Brogdon,Malcolm,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png,Boston Celtics,83,88.0,97.0,89.0,88.0,80.0,85.0,87.0,40.0,70.0,44.0,45.0,40.0,92.0,92.0,65.0,77.0,40.0,47.0,80.0,77.0,74.0,65.0,77.0,77.0,56.0,72.0,93.0,95.0,84.0,89.0,86.0,77.0,92.0,70.0,37.0,63.0
1629057,Williams III,Robert,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629057.png,Boston Celtics,83,95.0,69.0,25.0,63.0,70.0,65.0,82.0,90.0,75.0,60.0,50.0,65.0,54.0,75.0,88.0,40.0,38.0,90.0,64.0,88.0,88.0,90.0,71.0,62.0,83.0,75.0,80.0,90.0,81.0,57.0,48.0,38.0,62.0,40.0,91.0,87.0
1628401,White,Derrick,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png,Boston Celtics,82,93.0,79.0,81.0,88.0,98.0,80.0,74.0,40.0,55.0,35.0,51.0,35.0,83.0,90.0,38.0,82.0,40.0,67.0,82.0,76.0,69.0,65.0,90.0,90.0,46.0,75.0,85.0,78.0,81.0,88.0,86.0,88.0,82.0,68.0,37.0,52.0
201143,Horford,Al,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,Boston Celtics,82,97.0,86.0,87.0,86.0,70.0,65.0,65.0,70.0,65.0,76.0,84.0,83.0,40.0,84.0,82.0,68.0,35.0,66.0,67.0,85.0,78.0,85.0,53.0,48.0,91.0,69.0,95.0,85.0,78.0,79.0,50.0,33.0,84.0,50.0,46.0,69.0
201933,Griffin,Blake,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201933.png,Boston Celtics,75,90.0,45.0,78.0,63.0,50.0,40.0,73.0,75.0,75.0,70.0,70.0,70.0,40.0,85.0,73.0,59.0,40.0,51.0,65.0,70.0,40.0,55.0,68.0,71.0,85.0,85.0,95.0,75.0,88.0,75.0,77.0,66.0,74.0,46.0,66.0,75.0
1630573,Hauser,Sam,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png,Boston Celtics,75,74.0,77.0,85.0,89.0,95.0,80.0,60.0,40.0,60.0,44.0,45.0,45.0,55.0,95.0,48.0,55.0,38.0,55.0,62.0,52.0,44.0,45.0,61.0,61.0,66.0,62.0,85.0,88.0,80.0,50.0,43.0,55.0,60.0,34.0,41.0,61.0
1630625,Banton,Dalano,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png,Boston Celtics,75,73.0,82.0,74.0,75.0,95.0,80.0,79.0,30.0,65.0,30.0,45.0,48.0,79.0,80.0,40.0,68.0,84.0,79.0,72.0,60.0,62.0,60.0,76.0,76.0,66.0,75.0,80.0,75.0,80.0,78.0,76.0,72.0,79.0,65.0,48.0,58.0
1628436,Kornet,Luke,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png,Boston Celtics,74,83.0,56.0,70.0,81.0,65.0,60.0,60.0,75.0,60.0,69.0,68.0,69.0,48.0,85.0,74.0,32.0,33.0,86.0,34.0,76.0,54.0,70.0,38.0,37.0,66.0,62.0,85.0,85.0,77.0,50.0,43.0,33.0,60.0,35.0,82.0,63.0
1629052,Brissett,Oshae,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629052.png,Boston Celtics,73,69.0,67.0,74.0,70.0,95.0,75.0,75.0,70.0,75.0,64.0,62.0,59.0,54.0,81.0,57.0,40.0,43.0,50.0,52.0,57.0,50.0,35.0,63.0,67.0,75.0,79.0,85.0,80.0,83.0,47.0,59.0,52.0,54.0,29.0,56.0,67.0
1630202,Pritchard,Payton,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png,Boston Celtics,73,80.0,82.0,78.0,88.0,85.0,65.0,77.0,25.0,35.0,40.0,46.0,35.0,40.0,75.0,36.0,60.0,40.0,30.0,74.0,60.0,45.0,35.0,75.0,75.0,41.0,66.0,84.0,78.0,81.0,79.0,79.0,75.0,82.0,45.0,47.0,46.0
1629662,Kabengele,Mfiondu,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629662.png,Boston Celtics,70,70.0,74.0,58.0,76.0,60.0,40.0,68.0,80.0,80.0,54.0,50.0,60.0,40.0,75.0,72.0,58.0,42.0,80.0,57.0,72.0,44.0,50.0,72.0,70.0,75.0,72.0,85.0,80.0,80.0,34.0,54.0,55.0,48.0,36.0,48.0,70.0
1631120,Davison,JD,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631120.png,Boston Celtics,69,70.0,73.0,71.0,73.0,50.0,50.0,72.0,25.0,85.0,30.0,31.0,38.0,40.0,80.0,25.0,56.0,69.0,61.0,77.0,55.0,54.0,45.0,85.0,85.0,54.0,84.0,88.0,45.0,80.0,72.0,86.0,84.0,75.0,72.0,36.0,55.0
1630206,Scrubb,Jay,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630206.png,Boston Celtics,67,60.0,68.0,70.0,75.0,50.0,50.0,71.0,45.0,80.0,40.0,44.0,51.0,37.0,78.0,44.0,60.0,46.0,45.0,74.0,57.0,64.0,40.0,74.0,74.0,55.0,82.0,80.0,70.0,79.0,57.0,70.0,69.0,52.0,39.0,34.0,54.0
1628969,Bridges,Mikal,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,Brooklyn Nets,86,89.0,88.0,86.0,90.0,98.0,98.0,75.0,40.0,75.0,55.0,57.0,57.0,80.0,80.0,69.0,89.0,80.0,62.0,89.0,82.0,86.0,85.0,80.0,80.0,68.0,85.0,92.0,95.0,84.0,78.0,82.0,72.0,88.0,53.0,40.0,51.0
1629661,Johnson,Cameron,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629661.png,Brooklyn Nets,81,88.0,80.0,85.0,81.0,89.0,90.0,79.0,60.0,60.0,69.0,69.0,69.0,64.0,57.0,65.0,69.0,59.0,51.0,70.0,64.0,68.0,65.0,70.0,69.0,60.0,79.0,85.0,86.0,78.0,59.0,59.0,43.0,66.0,36.0,38.0,62.0
203915,Dinwiddie,Spencer,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203915.png,Brooklyn Nets,81,83.0,89.0,82.0,82.0,90.0,95.0,84.0,35.0,55.0,49.0,52.0,52.0,87.0,98.0,42.0,74.0,40.0,45.0,77.0,68.0,59.0,70.0,82.0,82.0,45.0,75.0,95.0,85.0,77.0,88.0,88.0,82.0,90.0,85.0,31.0,49.0
1627827,Finney-Smith,Dorian,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627827.png,Brooklyn Nets,77,74.0,71.0,77.0,75.0,90.0,85.0,77.0,40.0,84.0,47.0,40.0,40.0,48.0,72.0,72.0,81.0,42.0,53.0,81.0,74.0,74.0,75.0,67.0,67.0,62.0,83.0,80.0,80.0,81.0,65.0,60.0,44.0,61.0,33.0,56.0,53.0
1630570,Watford,Trendon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630570.png,Brooklyn Nets,77,92.0,68.0,75.0,72.0,80.0,85.0,79.0,75.0,80.0,69.0,69.0,69.0,69.0,70.0,66.0,52.0,43.0,47.0,52.0,52.0,50.0,40.0,63.0,63.0,79.0,80.0,85.0,80.0,80.0,59.0,50.0,57.0,62.0,60.0,47.0,73.0
1629022,Walker IV,Lonnie,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629022.png,Brooklyn Nets,76,88.0,71.0,82.0,87.0,75.0,70.0,82.0,40.0,75.0,48.0,53.0,48.0,67.0,75.0,55.0,74.0,38.0,50.0,78.0,62.0,65.0,35.0,91.0,91.0,64.0,83.0,85.0,65.0,82.0,70.0,78.0,77.0,67.0,33.0,31.0,42.0
1629647,Bazley,Darius,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629647.png,Brooklyn Nets,76,83.0,70.0,80.0,69.0,85.0,80.0,79.0,50.0,80.0,59.0,54.0,50.0,69.0,80.0,55.0,56.0,46.0,83.0,67.0,60.0,59.0,35.0,73.0,75.0,60.0,82.0,80.0,75.0,80.0,50.0,69.0,70.0,47.0,34.0,52.0,71.0
1627732,Simmons,Ben,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png,Brooklyn Nets,76,91.0,46.0,50.0,55.0,30.0,30.0,80.0,83.0,86.0,76.0,73.0,78.0,50.0,75.0,79.0,84.0,73.0,58.0,83.0,84.0,75.0,85.0,92.0,92.0,80.0,85.0,97.0,80.0,83.0,79.0,86.0,84.0,80.0,75.0,47.0,81.0
1628372,Smith Jr.,Dennis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628372.png,Brooklyn Nets,74,76.0,56.0,70.0,74.0,80.0,75.0,76.0,25.0,85.0,30.0,31.0,38.0,69.0,80.0,25.0,66.0,80.0,56.0,77.0,65.0,75.0,45.0,86.0,87.0,54.0,91.0,88.0,45.0,80.0,76.0,86.0,85.0,75.0,72.0,35.0,52.0
1630561,Duke Jr.,David,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630561.png,Brooklyn Nets,72,68.0,73.0,69.0,79.0,90.0,75.0,70.0,40.0,60.0,30.0,40.0,39.0,70.0,70.0,40.0,60.0,56.0,42.0,70.0,55.0,37.0,35.0,83.0,83.0,55.0,72.0,80.0,45.0,83.0,62.0,73.0,78.0,60.0,43.0,53.0,44.0
1629717,Brooks,Armoni,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629717.png,Brooklyn Nets,71,76.0,79.0,72.0,81.0,98.0,80.0,69.0,30.0,55.0,39.0,36.0,28.0,65.0,70.0,32.0,64.0,46.0,51.0,70.0,60.0,48.0,45.0,70.0,70.0,45.0,66.0,80.0,80.0,81.0,70.0,76.0,69.0,69.0,41.0,37.0,52.0
1630163,Ball,LaMelo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,Charlotte Hornets,86,80.0,80.0,81.0,86.0,98.0,98.0,88.0,45.0,75.0,52.0,58.0,52.0,82.0,98.0,45.0,70.0,53.0,47.0,83.0,79.0,89.0,75.0,84.0,84.0,50.0,79.0,93.0,89.0,82.0,94.0,88.0,84.0,94.0,90.0,41.0,65.0
1628970,Bridges,Miles,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png,Charlotte Hornets,83,90.0,78.0,78.0,77.0,97.0,98.0,92.0,60.0,91.0,59.0,60.0,80.0,88.0,79.0,60.0,59.0,41.0,62.0,76.0,62.0,68.0,45.0,75.0,72.0,73.0,82.0,88.0,75.0,85.0,69.0,76.0,71.0,74.0,62.0,41.0,69.0
1626162,Oubre Jr.,Kelly,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626162.png,Charlotte Hornets,80,73.0,85.0,77.0,76.0,98.0,98.0,79.0,40.0,84.0,45.0,53.0,52.0,84.0,88.0,49.0,74.0,59.0,50.0,76.0,70.0,75.0,55.0,72.0,82.0,58.0,95.0,90.0,75.0,84.0,73.0,78.0,69.0,80.0,30.0,47.0,57.0
202330,Hayward,Gordon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202330.png,Charlotte Hornets,79,91.0,89.0,76.0,80.0,65.0,80.0,85.0,40.0,75.0,40.0,65.0,58.0,65.0,91.0,56.0,73.0,41.0,42.0,76.0,73.0,58.0,65.0,80.0,77.0,63.0,75.0,88.0,80.0,78.0,74.0,77.0,77.0,79.0,67.0,36.0,56.0
1630208,Richards,Nick,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630208.png,Charlotte Hornets,78,60.0,69.0,25.0,76.0,95.0,80.0,62.0,80.0,80.0,52.0,47.0,52.0,55.0,80.0,75.0,47.0,31.0,86.0,52.0,78.0,40.0,70.0,72.0,70.0,65.0,75.0,81.0,85.0,84.0,37.0,35.0,49.0,36.0,29.0,86.0,81.0
1641706,Miller,Brandon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png,Charlotte Hornets,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631109,Williams,Mark,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png,Charlotte Hornets,77,72.0,53.0,36.0,73.0,70.0,55.0,75.0,85.0,75.0,60.0,60.0,60.0,73.0,85.0,79.0,44.0,70.0,89.0,49.0,75.0,60.0,65.0,65.0,64.0,73.0,75.0,85.0,88.0,80.0,44.0,35.0,32.0,52.0,27.0,79.0,89.0
1629023,Washington,P.J.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png,Charlotte Hornets,77,88.0,65.0,78.0,72.0,98.0,85.0,74.0,65.0,80.0,68.0,70.0,71.0,74.0,95.0,62.0,52.0,41.0,70.0,67.0,64.0,62.0,40.0,75.0,75.0,68.0,69.0,85.0,85.0,79.0,55.0,70.0,63.0,60.0,41.0,40.0,57.0
1628998,Martin,Cody,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628998.png,Charlotte Hornets,75,72.0,60.0,82.0,73.0,95.0,70.0,85.0,25.0,75.0,59.0,59.0,55.0,79.0,75.0,48.0,69.0,70.0,56.0,72.0,69.0,69.0,60.0,58.0,58.0,58.0,75.0,90.0,90.0,80.0,74.0,73.0,57.0,78.0,42.0,47.0,54.0
1630177,Maledon,Theo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630177.png,Charlotte Hornets,74,79.0,75.0,77.0,91.0,94.0,60.0,79.0,35.0,50.0,37.0,49.0,40.0,64.0,80.0,37.0,56.0,70.0,50.0,65.0,40.0,54.0,30.0,77.0,77.0,39.0,72.0,84.0,75.0,80.0,84.0,83.0,77.0,84.0,69.0,33.0,63.0
1630539,Jones,Kai,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630539.png,Charlotte Hornets,72,68.0,69.0,69.0,69.0,60.0,60.0,64.0,80.0,80.0,41.0,40.0,40.0,42.0,37.0,78.0,47.0,43.0,83.0,65.0,84.0,67.0,65.0,66.0,66.0,65.0,69.0,84.0,75.0,80.0,38.0,35.0,57.0,48.0,27.0,66.0,68.0
1631121,McGowens,Bryce,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631121.png,Charlotte Hornets,72,71.0,74.0,73.0,79.0,95.0,50.0,74.0,40.0,80.0,42.0,42.0,42.0,55.0,78.0,37.0,66.0,35.0,45.0,75.0,65.0,60.0,65.0,74.0,74.0,48.0,81.0,85.0,75.0,80.0,52.0,74.0,72.0,50.0,33.0,38.0,48.0
1630547,Bouknight,James,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630547.png,Charlotte Hornets,72,66.0,72.0,73.0,81.0,60.0,65.0,75.0,35.0,85.0,30.0,37.0,38.0,60.0,82.0,44.0,69.0,46.0,51.0,80.0,68.0,69.0,40.0,87.0,87.0,54.0,90.0,87.0,75.0,80.0,69.0,80.0,84.0,68.0,41.0,32.0,60.0
1628373,Ntilikina,Frank,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628373.png,Charlotte Hornets,72,80.0,87.0,68.0,86.0,50.0,40.0,65.0,30.0,45.0,32.0,48.0,40.0,39.0,85.0,35.0,82.0,36.0,47.0,82.0,80.0,70.0,70.0,80.0,82.0,47.0,70.0,81.0,80.0,80.0,77.0,86.0,80.0,77.0,51.0,32.0,53.0
203897,LaVine,Zach,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png,Chicago Bulls,86,87.0,84.0,82.0,85.0,98.0,98.0,88.0,60.0,95.0,59.0,59.0,59.0,82.0,98.0,62.0,69.0,41.0,40.0,75.0,68.0,69.0,65.0,84.0,84.0,49.0,97.0,98.0,85.0,83.0,79.0,88.0,81.0,88.0,66.0,34.0,56.0
201942,DeRozan,DeMar,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,Chicago Bulls,86,95.0,95.0,77.0,86.0,90.0,90.0,92.0,55.0,84.0,65.0,78.0,87.0,85.0,95.0,50.0,73.0,43.0,52.0,76.0,74.0,82.0,70.0,82.0,82.0,73.0,88.0,98.0,90.0,91.0,73.0,83.0,80.0,75.0,71.0,32.0,57.0
202696,Vucevic,Nikola,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png,Chicago Bulls,84,97.0,88.0,78.0,83.0,90.0,90.0,70.0,85.0,65.0,89.0,84.0,88.0,50.0,98.0,74.0,41.0,38.0,62.0,49.0,73.0,57.0,50.0,62.0,46.0,89.0,45.0,95.0,85.0,77.0,82.0,35.0,32.0,82.0,58.0,58.0,88.0
1628366,Ball,Lonzo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628366.png,Chicago Bulls,81,55.0,65.0,84.0,79.0,92.0,85.0,79.0,30.0,75.0,35.0,44.0,40.0,59.0,84.0,60.0,86.0,80.0,62.0,86.0,85.0,90.0,85.0,85.0,85.0,52.0,80.0,93.0,70.0,80.0,88.0,86.0,85.0,89.0,70.0,41.0,62.0
1627936,Caruso,Alex,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,Chicago Bulls,78,70.0,67.0,80.0,81.0,65.0,50.0,70.0,35.0,75.0,30.0,43.0,29.0,45.0,68.0,31.0,89.0,96.0,66.0,87.0,88.0,89.0,90.0,82.0,82.0,31.0,72.0,85.0,85.0,81.0,78.0,78.0,82.0,80.0,62.0,39.0,52.0
203083,Drummond,Andre,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png,Chicago Bulls,78,82.0,47.0,47.0,54.0,40.0,30.0,73.0,95.0,85.0,70.0,45.0,75.0,40.0,80.0,77.0,52.0,76.0,66.0,52.0,74.0,70.0,70.0,60.0,58.0,95.0,79.0,89.0,85.0,81.0,52.0,45.0,49.0,70.0,32.0,96.0,97.0
1630172,Williams,Patrick,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630172.png,Chicago Bulls,77,64.0,83.0,85.0,87.0,70.0,75.0,68.0,60.0,65.0,44.0,42.0,40.0,50.0,80.0,70.0,76.0,42.0,67.0,74.0,80.0,65.0,65.0,70.0,70.0,64.0,77.0,88.0,75.0,81.0,60.0,70.0,64.0,62.0,31.0,43.0,56.0
1629750,Green,Javonte,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png,Chicago Bulls,77,73.0,70.0,82.0,65.0,80.0,75.0,79.0,25.0,85.0,52.0,52.0,52.0,60.0,95.0,74.0,77.0,73.0,81.0,69.0,74.0,80.0,75.0,72.0,74.0,46.0,85.0,80.0,75.0,82.0,60.0,72.0,69.0,68.0,33.0,56.0,62.0
1629632,White,Coby,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png,Chicago Bulls,76,85.0,82.0,81.0,86.0,70.0,70.0,79.0,30.0,65.0,34.0,45.0,49.0,67.0,80.0,49.0,64.0,46.0,35.0,73.0,66.0,64.0,45.0,85.0,85.0,56.0,81.0,90.0,85.0,80.0,77.0,86.0,84.0,77.0,63.0,30.0,55.0
1628975,Carter,Jevon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628975.png,Chicago Bulls,75,66.0,85.0,86.0,81.0,77.0,75.0,75.0,25.0,35.0,32.0,34.0,30.0,40.0,80.0,34.0,79.0,56.0,53.0,83.0,72.0,75.0,70.0,76.0,78.0,60.0,71.0,85.0,76.0,81.0,75.0,79.0,76.0,70.0,57.0,35.0,48.0
1628470,Craig,Torrey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628470.png,Chicago Bulls,75,58.0,60.0,82.0,72.0,95.0,50.0,79.0,35.0,60.0,50.0,62.0,55.0,50.0,70.0,74.0,79.0,41.0,66.0,80.0,79.0,75.0,75.0,63.0,61.0,49.0,73.0,80.0,35.0,80.0,52.0,69.0,58.0,50.0,35.0,65.0,66.0
